gvkey,conm,tic,cusip,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
002285,BOEING CO,BA,097023105,C,00X,LU,19561,20315,19500101,19620130
002285,BOEING CO,BA,097023105,P,01,LU,19561,20315,19620131,E
002290,OFFICEMAX INC,OMX,67622P101,P,01,LC,42024,20316,19650602,20131105
002312,ROBERT HALF INTL INC,RHI,770323103,C,01,LU,52230,469,19710415,E
002316,HEXION INC,0141A,60899Z001,P,01,LC,16571,20320,19620131,19950314
002322,BURNS INTL SERVICES CORP,BOR.1,122374101,C,00X,LC,17590,22790,19500101,19620130
002322,BURNS INTL SERVICES CORP,BOR.1,122374101,C,02,LC,17590,22790,19620131,19870730
002322,BURNS INTL SERVICES CORP,BOR.1,122374101,C,02,LC,78851,29738,19930120,20000908
002328,NSTAR,NST,67019E107,P,01,LC,25144,20323,19620131,19990824
002328,NSTAR,NST,67019E107,C,00X,LC,25144,20323,19531102,19620130
002328,NSTAR,NST,67019E107,P,01,LC,87146,35233,19990927,20120409
002393,BRIGGS & STRATTON,BGG,109043109,P,01,LU,17961,20330,19620131,E
002393,BRIGGS & STRATTON,BGG,109043109,C,00X,LU,17961,20330,19500101,19620130
002403,BRISTOL-MYERS SQUIBB CO,BMY,110122108,P,01,LU,19393,20331,19620131,E
002403,BRISTOL-MYERS SQUIBB CO,BMY,110122108,C,00X,LU,19393,20331,19500101,19620130
002418,BROCKWAY INC,BRK.1,111853107,P,01,LU,50737,25142,19700619,19880331
002424,KEYSPAN ENERGY CORP,KSE.,493375109,P,01,LC,10823,20338,19620131,19980529
002424,KEYSPAN ENERGY CORP,KSE.,493375109,C,00X,LC,10823,20338,19510101,19620130
002433,BNS HOLDING CO,BNSSA,055966402,P,01,LC,42606,20339,19651101,20020208
002434,BROWN CO,BWN.1,115331100,P,01,LU,29911,23660,19620702,19801031
002435,BROWN FORMAN CORP,BF.B,115637209,P,01,LU,29946,20340,19620702,E
002435,BROWN FORMAN CORP,BF.B,115637209,J,02,LU,29938,20340,19820129,E
002436,CALERES INC,CAL,129500104,P,01,LU,10866,20342,19620131,E
002436,CALERES INC,CAL,129500104,C,00X,LU,10866,20342,19491101,19620130
002439,BROWNING-FERRIS INDS,BFI.,115885105,P,01,LC,53786,20343,19711215,19990730
002443,BRUNOS INC,BRNO20,116881202,P,01,LU,19589,659,19721214,19950817
002444,BRUNSWICK CORP,BC,117043109,P,01,LU,10874,20344,19620131,E
002444,BRUNSWICK CORP,BC,117043109,C,00X,LU,10874,20344,19500101,19620130
002455,BUDD CO,BF.,118835107,C,00X,LU,18331,22843,19500101,19620130
002455,BUDD CO,BF.,118835107,P,01,LU,18331,22843,19620131,19780428
002456,BUDGET INDUSTRIES INC,BGT.1,119007102,P,01,LU,29962,23663,19620702,19701231
002489,BURLINGTON INDUSTRIES INC,3BRLGQ,121693105,P,02,LC,77465,29449,19920319,20011114
002489,BURLINGTON INDUSTRIES INC,3BRLGQ,121693105,P,01,LC,20677,23018,19830101,19870831
002489,BURLINGTON INDUSTRIES INC,3BRLGQ,121693105,P,01,LC,20677,23018,19620131,19820128
002489,BURLINGTON INDUSTRIES INC,3BRLGQ,121693105,C,00X,LC,20677,23018,19501230,19620130
002490,BURLINGTON NORTHERN SANTA FE,BRK3,08499Z004,P,01,LU,50227,20350,19700303,20100226
002504,UNISYS CORP,UIS,909214306,C,00X,LU,10890,21814,19500101,19620130
002504,UNISYS CORP,UIS,909214306,P,01,LU,10890,21814,19620131,E
002529,CBS INC,CBS.1,124845108,P,01,LC,20730,20354,19620131,19951124
002529,CBS INC,CBS.1,124845108,C,00X,LC,20730,20354,19500101,19620130
002541,CF & I STEEL CORP,3CFIPQ,125185108,C,01,LU,86239,7576,19780131,19910628
002547,CIGNA CORP,CI,125509109,P,01,LC,59221,857,19721214,19820331
002547,CIGNA CORP,CI,125509109,P,01,LC,64186,20357,19820420,E
002549,CIT GROUP INC-OLD,CIT.1,125577106,C,01,LC,85599,32141,19971113,20010601
002549,CIT GROUP INC-OLD,CIT.1,125577106,C,01,LC,10970,22239,19620131,19800131
002549,CIT GROUP INC-OLD,CIT.1,125577106,C,00X,LC,10970,22239,19500101,19620130
002558,CNA FINANCIAL CORP,CNA,126117100,C,00X,LC,47626,20363,19720101,19720130
002558,CNA FINANCIAL CORP,CNA,126117100,P,01,LC,47626,20363,19720131,E
002559,CNW CORP,9257B,126137108,P,01,LC,63108,1014,19760217,19891026
002562,BESTFOODS,BFO.2,08658U101,C,00X,LU,10989,20365,19570101,19620130
002562,BESTFOODS,BFO.2,08658U101,P,01,LU,10989,20365,19620131,20001031
002574,CSX CORP,CSX,126408103,P,01,LC,22410,23143,19670731,19801031
002574,CSX CORP,CSX,126408103,P,01,LC,62148,20370,19801113,E
002661,CAMPBELL RED LAKE MINES,CRK.1,134411107,P,01,LU,25478,23337,19620131,19870831
002663,CAMPBELL SOUP CO,CPB,134429109,P,01,LU,25320,20384,19620131,E
002698,CANADIAN PACIFIC RAILWAY LTD,CP,13645T100,P,01,LC,83715,31687,19960705,20011002
002698,CANADIAN PACIFIC RAILWAY LTD,CP,13645T100,P,01,LC,11041,20387,19631231,19960703
002698,CANADIAN PACIFIC RAILWAY LTD,CP,13645T100,P,01,LC,89125,41990,20011003,E
002710,CONSTELLATION BRANDS,STZ,21036P108,P,02,LC,69796,1015,19930901,E
002710,CONSTELLATION BRANDS,STZ,21036P108,P,01,LC,64899,1015,19730228,19930831
002710,CONSTELLATION BRANDS,STZ,21036P108,J,01,LC,64899,1015,19930901,E
002710,CONSTELLATION BRANDS,STZ,21036P108,J,02,LC,69796,1015,19860714,19930831
002729,CAPITAL CITIES/ABC INC,CCB.2,139859102,P,01,LU,30330,20389,19620702,19960229
002731,PROVIDIAN FINANCIAL CORP,PVN,74406A102,P,01,LC,85073,32010,19970613,20050930
002751,CARDINAL HEALTH INC,CAH,14149Y108,P,01,LC,21371,6262,19830804,E
002775,CARNATION CO,CMK.2,143483105,P,01,LU,30365,23699,19620702,19850131
002783,PROGRESS ENERGY INC,DUK8,26499B009,C,01,LU,23114,20397,20120701,E
002783,PROGRESS ENERGY INC,DUK8,26499B009,C,00X,LU,23114,20397,19510101,19620130
002783,PROGRESS ENERGY INC,DUK8,26499B009,P,01,LU,23114,20397,19620131,20120630
002789,CARRIER CORP,CRR.2,144465101,C,00X,LU,22533,23149,19491101,19620130
002789,CARRIER CORP,CRR.2,144465101,P,01,LU,22533,23149,19620131,19790629
002796,BROADWAY STORES INC,BWY.1,111572103,P,01,LC,40504,24465,19640511,19700827
002796,BROADWAY STORES INC,BWY.1,111572103,P,01,LC,78063,20400,19921104,19951011
002796,BROADWAY STORES INC,BWY.1,111572103,P,01,LC,40352,20400,19700828,19921008
002806,CASE (J I) CO,JI.,147429104,P,01,LC,11068,22244,19620131,19700804
002806,CASE (J I) CO,JI.,147429104,C,00X,LC,11068,22244,19491101,19620130
002817,CATERPILLAR INC,CAT,149123101,P,01,LC,18542,20408,19620131,E
002817,CATERPILLAR INC,CAT,149123101,C,00X,LC,18542,20408,19500101,19620130
002827,CELANESE CORP-OLD,CZ.1,150843100,P,01,LU,19027,22888,19620131,19870227
002827,CELANESE CORP-OLD,CZ.1,150843100,C,00X,LU,19027,22888,19500101,19620130
002839,CENTEL CORP,CNT.4,151334109,P,01,LU,47052,20410,19681031,19930308
002845,CENTEX CORP,CTX.2,152312104,P,01,LU,53831,20413,19711228,20090831
002847,CENTRAL & SOUTH WEST CORP,CSR.1,152357109,P,01,LU,23851,20414,19620131,20000630
002847,CENTRAL & SOUTH WEST CORP,CSR.1,152357109,C,00X,LU,23851,20414,19510101,19620130
002849,BBVA COMPASS BANCSHARES INC,BBVA1,05946K002,P,01,LU,22032,780,19780131,20070928
002849,BBVA COMPASS BANCSHARES INC,BBVA1,05946K002,C,00X,LC,22032,780,19780101,19780130
002864,CENTRAL SOYA CO INC,5585A,155177009,C,01,LU,27158,23456,19620131,19850509
002864,CENTRAL SOYA CO INC,5585A,155177009,C,00X,LU,27158,23456,19600229,19620130
002884,CENTURYLINK INC,CTL,156700106,P,01,LC,60599,20421,19721214,E
002892,CERRO CORP,CDP.3,156825101,P,01,LU,11092,22247,19620131,19760227
002892,CERRO CORP,CDP.3,156825101,C,00X,LC,11092,22247,19500101,19620130
002917,CHAMPION INTERNATIONAL CORP,CHA.3,158525105,C,01,LC,21397,20427,19660331,20000620
002920,CHAMPION SPARK PLUG,CHM.2,158663104,P,01,LU,26622,23418,19620131,19890724
002938,CHARMING SHOPPES INC,CHRS.1,161133103,P,01,LU,22753,894,19721214,20120629
002943,CHASE MANHATTAN CORP  -OLD,CMB.1,161610100,P,01,LU,41718,20432,19650315,19960329
