gvkey,gvkeyx,from,thru,conm,tic,co_conm,co_tic,co_cusip
165052,000003,20140501,,S&P 500 Comp-Ltd,I0003,UNDER ARMOUR INC,UAA,904311107
180711,000003,20140508,,S&P 500 Comp-Ltd,I0003,BROADCOM LTD,AVGO,Y09827109
150699,000003,20140623,,S&P 500 Comp-Ltd,I0003,CIMAREX ENERGY CO,XEC,171798101
065886,000003,20140701,,S&P 500 Comp-Ltd,I0003,AFFILIATED MANAGERS GRP INC,AMG,008252108
029733,000003,20140702,,S&P 500 Comp-Ltd,I0003,MARTIN MARIETTA MATERIALS,MLM,573284106
164296,000003,20140807,,S&P 500 Comp-Ltd,I0003,DISCOVERY COMMUNICATIONS INC,DISCA,25470F302
018086,000003,20140819,20170725,S&P 500 Comp-Ltd,I0003,MALLINCKRODT PLC,MNK,G5785G107
011032,000003,20140922,,S&P 500 Comp-Ltd,I0003,UNIVERSAL HEALTH SVCS INC,UHS,913903100
066065,000003,20140922,,S&P 500 Comp-Ltd,I0003,UNITED RENTALS INC,URI,911363109
013440,000003,20141105,20171012,S&P 500 Comp-Ltd,I0003,LEVEL 3 COMMUNICATIONS INC,LVLT,52729N308
028191,000003,20141205,,S&P 500 Comp-Ltd,I0003,ROYAL CARIBBEAN CRUISES LTD,RCL,V7780T103
022260,000003,20150127,,S&P 500 Comp-Ltd,I0003,HCA HEALTHCARE INC,HCA,40412C101
063645,000003,20150127,20170301,S&P 500 Comp-Ltd,I0003,ENDO INTERNATIONAL PLC,ENDP,G30401106
001327,000003,20150312,,S&P 500 Comp-Ltd,I0003,SKYWORKS SOLUTIONS INC,SWKS,83088M102
061494,000003,20150318,,S&P 500 Comp-Ltd,I0003,SCHEIN (HENRY) INC,HSIC,806407102
001045,000003,20150323,,S&P 500 Comp-Ltd,I0003,AMERICAN AIRLINES GROUP INC,AAL,02376R102
065290,000003,20150323,,S&P 500 Comp-Ltd,I0003,SL GREEN REALTY CORP,SLG,78440X101
138743,000003,20150323,,S&P 500 Comp-Ltd,I0003,EQUINIX INC,EQIX,29444U700
175319,000003,20150323,,S&P 500 Comp-Ltd,I0003,HANESBRANDS INC,HBI,410345102
030822,000003,20150407,,S&P 500 Comp-Ltd,I0003,REALTY INCOME CORP,O,756109104
064853,000003,20150612,,S&P 500 Comp-Ltd,I0003,QORVO INC,QRVO,74736K101
005783,000003,20150701,,S&P 500 Comp-Ltd,I0003,HUNT (JB) TRANSPRT SVCS INC,JBHT,445658107
022734,000003,20150701,20160602,S&P 500 Comp-Ltd,I0003,BAXALTA INC,BXLT,07177M103
029830,000003,20150702,,S&P 500 Comp-Ltd,I0003,WESTROCK CO,WRK,96145D105
