TICKER,PERMNO,NCUSIP,sdate,edate,SCORE
CBE,21979,G2418210,20JUN2002,08SEP2009,1
CBE,21979,G2414010,17SEP2009,30NOV2012,1
CBL,30912,22029110,19AUG1976,08OCT1990,1
CBL,76474,97062420,18OCT1990,06NOV1998,1
CBM,28505,16533910,15JAN1976,10FEB1987,1
CBOH,93429,12503M10,17JUN2010,30DEC2016,1
CBS,20730,12484510,15JAN1976,24NOV1995,1
CBSS,22032,15242510,20JAN1983,07NOV1993,1
CBSS,22032,20449H10,18NOV1993,06SEP2007,1
CBTB,20053,12478010,19AUG1982,11SEP1989,1
CBTB,20053,87161C10,14SEP1989,18MAY2014,1
CBTB,20053,87161C50,19JUN2014,30DEC2016,1
CC,47669,15115910,15SEP1977,13JUL1983,5
CC,47175,17273710,21JUN1984,07NOV2008,1
CC,,,20NOV2008,28FEB2013,6
CCB,30330,13986110,15JAN1976,24JUN1985,1
CCB,30330,13985910,16JAN1986,09FEB1996,1
CCC,11447,21145210,28APR1976,01NOV1984,1
CCC2,70519,20161510,29OCT1986,15DEC1988,1
CCC2,70519,74158910,19JAN1989,02JAN1994,1
CCC2,70519,89419010,20JAN1994,07OCT1998,1
CCC2,70519,17296710,15OCT1998,08MAY2011,1
CCC2,70519,17296742,19MAY2011,30DEC2016,1
CCE,70500,19121910,21NOV1986,03OCT2010,1
CCE,70500,19122T10,14OCT2010,27MAY2016,1
CCE,16048,G2583910,16JUN2016,30DEC2016,1
CCI,47079,17303410,15JAN1976,07OCT1998,1
CCK,17726,22825510,15JAN1976,25FEB2003,1
CCK,17726,22836810,20MAR2003,30DEC2016,1
CCL,75154,14365810,24JUL1987,20APR2003,1
CCL,75154,14365830,15MAY2003,30DEC2016,1
CCMM,,,18FEB2010,17MAR2010,6
CCMM,12308,16117M30,14SEP2010,17MAY2016,1
CCMM,12308,16119P10,19MAY2016,30DEC2016,1
CCN,21282,17052010,20JUL1978,31JUL2001,1
CCR,64565,22237210,14JUL1983,30JUN2008,1
CCS1,87055,22160710,19DEC1985,21OCT1993,1
CCS1,87055,74143W10,18NOV1993,05FEB1997,1
CCS1,87055,22160Q10,20FEB1997,29AUG1999,1
CCS1,87055,22160K10,16SEP1999,30DEC2016,1
CDA,38914,21236310,15JAN1976,02JUN1992,1
CDA,38914,15677T10,18JUN1992,01APR2001,1
CDA,89497,03875Q10,19APR2001,27SEP2013,1
CDG,64899,13721910,19APR1984,13JUL1986,4
CDG2,69796,13721920,18JAN1990,17JUN1992,1
CDG2,64899,13721910,18JUN1992,18FEB1998,6
CDG2,69796,13721920,18JUN1992,18FEB1998,6
CDG2,69796,13721920,19FEB1998,19SEP2000,1
CDG2,69796,21036P10,19OCT2000,30DEC2016,1
CDIC,21371,14148710,15DEC1983,13FEB1994,1
CDIC,21371,14149Y10,17MAR1994,30DEC2016,1
CDSG,27087,09367610,14JAN1988,29SEP1994,1
CEF,84382,16361A10,16JAN1997,06NOV2002,1
CEFT,26332,20618910,16OCT1986,26FEB1992,1
CEFT,26332,20619710,14MAY1992,26FEB2004,1
CELG,11552,15102010,20OCT1988,30DEC2016,1
CEPH,76625,15670810,18JUL1991,13OCT2011,1
CERN,10909,15678210,16APR1987,30DEC2016,1
CEY,89003,15688010,19JUL2001,31JAN2006,1
CEY,89003,31620M10,16FEB2006,30DEC2016,1
CFF,90829,12526910,18AUG2005,30DEC2016,1
CFG,14889,17461010,16OCT2014,30DEC2016,1
CFIP,86239,12518510,20AUG1987,31MAY1991,1
CG,11340,19764810,14OCT1976,01NOV2000,1
CGG,11164,16789810,15JAN1976,30DEC1986,1
CGLC,89303,54042420,14FEB2002,09JUN2008,1
CGLC,89303,54414710,19JUN2008,11JUN2015,1
CGM,50681,20758620,15JAN1976,18AUG1981,1
CGP,38893,19055610,16DEC1976,14JUN1978,4
CGP,38893,19044110,02JAN1980,29JAN2001,1
CGP,,,15FEB2001,31DEC2002,6
CH99,16758,23216510,15JAN1976,02JAN1979,1
CHA,21397,15852510,15JAN1976,20JUN2000,1
CHG,54009,16776310,20JUL1978,30JUN1993,1
CHH,40352,14622710,15JAN1976,08OCT1992,1
CHH,78063,14622730,14JAN1993,19JUN1994,1
CHH,78063,11157210,14JUL1994,11OCT1995,1
CHIR,23318,17004010,15DEC1983,19APR2006,1
CHL,47896,16379810,15JAN1976,25APR1988,1
CHL,47896,16372210,19MAY1988,31MAR1996,1
CHL,47896,16161A10,18APR1996,01JAN2001,1
CHL,47896,46625H10,18JAN2001,30DEC2016,1
CHM,26622,15866310,15JAN1976,24JUL1989,1
CHOS,76171,19770910,15NOV1990,31JAN1991,1
CHOS,76171,19770920,14FEB1991,31AUG1993,1
CHOS,76171,19767910,16SEP1993,10FEB1994,1
CHOS,76171,19767710,17MAR1994,29MAY2000,1
CHOS,76171,40411910,15JUN2000,17NOV2006,1
CHRS,22753,16113310,18AUG1977,14JUN2012,1
CHRW,85459,12541W10,20NOV1997,16OCT2005,1
CHRW,85459,12541W20,20OCT2005,30DEC2016,1
CHTR,87378,16117M10,16DEC1999,06APR2009,1
CHTR,,,16APR2009,31DEC2014,6
CHU,59205,17158310,19AUG1976,21SEP1989,1
CHV,14541,16675110,02APR1984,09OCT2001,1
CHV,14541,16676410,18OCT2001,30DEC2016,1
CI,64186,12550910,20MAY1982,30DEC2016,1
CIA,38914,15677910,19APR2001,08NOV2007,1
CIC,46658,21132710,15JAN1976,10MAY1995,1
CIEN,84519,17177910,20MAR1997,24SEP2006,1
CIEN,84519,17177930,19OCT2006,30DEC2016,1
CIL,57250,21148510,15JAN1976,25SEP1984,1
CIL,57250,21148530,14MAR1985,12DEC1988,1
CIL,57250,21111310,15DEC1988,31AUG1994,1
CIN,22947,17207010,15JAN1976,24OCT1994,1
CIN,22947,17247410,17NOV1994,31MAR2006,1
CINF,23473,17206210,20MAY1982,30DEC2016,1
CIT,10970,12556910,15JAN1976,31JAN1980,1
CIT1,23879,17734210,20OCT1983,17JUN1987,1
CIT1,23879,17734210,18JUN1987,22AUG1997,6
CIT1,23887,17734220,18JUN1987,22AUG1997,6
CIT1,23887,17734220,23AUG1997,18MAY2000,1
CIT1,23887,17453B10,15JUN2000,30JUL2008,1
CIT1,23887,35906A10,14AUG2008,30DEC2016,1
CITG,85599,12557710,20NOV1997,01JUN2001,1
CITG,89463,12558110,18JUL2002,02NOV2009,1
CITG,,,19NOV2009,17FEB2010,6
CITG,93150,12558180,18FEB2010,30DEC2016,1
CK,15712,19482810,15JAN1976,14JAN1987,1
CKL,18446,18139610,15JAN1976,25MAY1995,1
CL,18729,19416210,15JAN1976,30DEC2016,1
CLCH,24046,18450210,18OCT1984,30JUL2008,1
CLF,27422,18600010,15JAN1976,23APR1985,1
CLF,27422,18589610,18JUL1985,14OCT2008,1
CLF,27422,18683K10,16OCT2008,30DEC2016,1
CLL,11471,20825110,02JUL1979,30SEP1981,1
CLN,39140,19355810,15JAN1976,20APR1989,1
CLN,77368,19355910,16APR1992,06JAN2000,1
CLU,11295,18948610,15JAN1976,15JAN1986,1
CLX,46578,18905410,15JAN1976,30DEC2016,1
CMB,41718,16161010,15JAN1976,29MAR1996,1
CMCA,,,19MAY1977,16MAY1979,6
CMCA,25081,20034010,01JUL1982,30DEC2016,1
CMCS,25022,20030010,14OCT1982,15DEC1993,1
CMCS,11997,20030020,16DEC1993,18NOV2002,1
CMCS,89525,20030N10,19DEC2002,30DEC2016,1
CMCS/2,25022,20030010,16OCT1997,18NOV2002,1
CMCS/2,89565,20030N20,19DEC2002,11DEC2015,1
CME,89626,16776010,16JAN2003,12JUL2007,1
CME,89626,12572Q10,19JUL2007,30DEC2016,1
CMG,91068,16965610,16FEB2006,30DEC2016,1
CMK,30365,14348310,15JAN1976,21JAN1985,1
CMPQ,68347,20449310,17MAY1984,03MAY2002,1
