Date,ShortVolume,ShortExemptVolume,TotalVolume
2017-02-03,173236.0,18472.0,357749.0
2017-02-02,393257.0,13850.0,1085042.0
2017-02-01,197394.0,200.0,334768.0
2017-01-31,171538.0,500.0,406880.0
2017-01-30,21362.0,0.0,90802.0
2017-01-27,224926.0,0.0,354854.0
2017-01-26,64533.0,8692.0,140083.0
2017-01-25,9204.0,0.0,97224.0
2017-01-24,45010.0,58.0,127944.0
2017-01-23,148798.0,100.0,276233.0
2017-01-20,56650.0,300.0,114942.0
2017-01-19,75468.0,0.0,210019.0
2017-01-18,30862.0,0.0,160679.0
2017-01-17,72588.0,100.0,246599.0
2017-01-13,362224.0,1548.0,471809.0
2017-01-12,54111.0,0.0,128524.0
2017-01-11,61599.0,0.0,114831.0
2017-01-10,20712.0,1000.0,50525.0
2017-01-09,44863.0,0.0,72526.0
2017-01-06,74041.0,0.0,127492.0
2017-01-05,62672.0,129.0,94796.0
2017-01-04,94995.0,0.0,167690.0
2017-01-03,81184.0,0.0,142962.0
2016-12-30,208264.0,0.0,652697.0
2016-12-29,448207.0,400.0,531235.0
2016-12-28,89642.0,0.0,175727.0
2016-12-27,137260.0,978.0,222133.0
2016-12-23,137570.0,0.0,434017.0
2016-12-22,153183.0,8305.0,481149.0
2016-12-21,86538.0,0.0,312392.0
2016-12-20,320920.0,0.0,772331.0
2016-12-19,355473.0,0.0,853559.0
2016-12-16,103463.0,1790.0,296239.0
2016-12-15,35238.0,0.0,74004.0
2016-12-14,65348.0,162.0,96878.0
2016-12-13,112340.0,0.0,195788.0
2016-12-12,119188.0,0.0,296703.0
2016-12-09,86730.0,0.0,174878.0
2016-12-08,165458.0,0.0,275143.0
2016-12-07,137863.0,0.0,228786.0
2016-12-06,87289.0,0.0,253257.0
2016-12-05,77824.0,0.0,110713.0
2016-12-02,226696.0,140.0,323880.0
2016-12-01,45777.0,0.0,183542.0
2016-11-30,30604.0,500.0,78747.0
2016-11-29,40069.0,0.0,151580.0
2016-11-28,20537.0,0.0,65798.0
2016-11-25,7349.0,0.0,15789.0
2016-11-23,26163.0,1100.0,91709.0
2016-11-22,16211.0,1700.0,99603.0
2016-11-21,23300.0,0.0,114176.0
2016-11-18,17500.0,0.0,83698.0
2016-11-17,70780.0,1300.0,88507.0
2016-11-16,24351.0,0.0,54377.0
2016-11-15,166490.0,0.0,297715.0
2016-11-14,104812.0,0.0,386621.0
2016-11-11,157179.0,300.0,234925.0
2016-11-10,699118.0,5000.0,1614367.0
2016-11-09,284113.0,0.0,628506.0
2016-11-08,73564.0,0.0,132487.0
2016-11-07,7704.0,0.0,30142.0
2016-11-04,14004.0,0.0,90179.0
2016-11-03,18411.0,0.0,107674.0
2016-11-02,51847.0,0.0,154847.0
2016-11-01,142016.0,0.0,404172.0
2016-10-31,58899.0,0.0,204416.0
2016-10-28,183501.0,0.0,522732.0
2016-10-27,4055.0,0.0,116442.0
2016-10-26,55550.0,0.0,236534.0
2016-10-25,20800.0,0.0,66700.0
2016-10-24,94550.0,200.0,201975.0
2016-10-21,166196.0,0.0,565524.0
2016-10-20,183095.0,0.0,360711.0
2016-10-19,16134.0,0.0,56839.0
2016-10-18,63445.0,0.0,207025.0
2016-10-17,59325.0,0.0,344405.0
2016-10-14,58500.0,1300.0,215016.0
2016-10-13,23610.0,0.0,65442.0
2016-10-12,59618.0,0.0,86259.0
2016-10-11,55369.0,0.0,85390.0
2016-10-10,9751.0,0.0,53871.0
2016-10-07,21233.0,0.0,65407.0
2016-10-06,12134.0,0.0,29178.0
2016-10-05,24010.0,0.0,42086.0
2016-10-04,27943.0,0.0,76207.0
2016-10-03,15609.0,0.0,41866.0
