Date,Price,Open,High,Low,Vol.,Change %
2015-07-13,58.62,59.56,59.56,56.06,-,-1.84%
2015-07-10,59.72,63.31,63.31,58.35,-,-5.67%
2015-07-09,63.31,60.1,63.42,58.37,-,2.36%
2015-07-08,61.85,60.58,62.52,59.31,-,5.64%
2015-07-07,58.55,60.91,63.86,57.84,-,-5.12%
2015-07-06,61.71,63.71,63.71,60.69,-,0.67%
2015-07-02,61.3,60.33,62.4,58.75,-,1.61%
2015-07-01,60.33,60.52,62.89,59.89,-,-4.07%
2015-06-30,62.89,63.66,64.44,62.17,-,-1.21%
2015-06-29,63.66,60.74,65.36,60.74,-,4.81%
2015-06-26,60.74,61.4,62.15,59.84,-,-1.07%
2015-06-25,61.4,62.17,62.17,60.3,-,-1.24%
2015-06-24,62.17,61.44,62.17,59.9,-,1.29%
2015-06-23,61.38,62.84,62.84,60.15,-,-2.32%
2015-06-22,62.84,63.4,63.4,60.12,-,-0.88%
2015-06-19,63.4,62.46,64.37,61.9,-,1.50%
2015-06-18,62.46,62.05,62.68,59.98,-,-0.37%
2015-06-17,62.69,62.35,64.47,61.13,-,0.58%
2015-06-16,62.33,62.41,62.6,61.2,-,0.02%
2015-06-15,62.32,61.13,63.36,61.13,-,1.95%
2015-06-12,61.13,61.06,61.84,59.79,-,1.61%
2015-06-11,60.16,60.04,60.84,59.06,-,-0.51%
2015-06-10,60.47,62.26,62.92,59.85,-,-3.89%
2015-06-09,62.92,64.3,65.14,62.51,-,-2.15%
2015-06-08,64.3,64.18,65.85,62.99,-,1.24%
2015-06-05,63.51,63.05,64.68,62.57,-,0.54%
2015-06-04,63.17,62.19,64.09,62,-,1.58%
2015-06-03,62.19,62.23,63.47,60.84,-,0.48%
2015-06-02,61.89,61.81,63.09,60.53,-,0.13%
2015-06-01,61.81,61.49,62.34,60.02,-,0.06%
2015-05-29,61.77,60.55,62.27,59.62,-,2.95%
2015-05-28,60,61.08,61.08,59.42,-,-0.61%
2015-05-27,60.37,60.87,61.98,59.61,-,-0.82%
2015-05-26,60.87,59.46,63.11,59.46,-,2.37%
2015-05-22,59.46,60.67,60.67,58.85,-,-1.99%
2015-05-21,60.67,61.7,61.94,60.26,-,-1.67%
2015-05-20,61.7,61.58,62.43,59.56,-,-1.78%
2015-05-19,62.82,64.76,65.34,62.02,-,-3.00%
2015-05-18,64.76,63.85,64.99,63.07,-,1.43%
2015-05-15,63.85,63.66,64.28,62.9,-,0.30%
2015-05-14,63.66,63.48,64,62.59,-,0.28%
2015-05-13,63.48,63.95,64.09,62.67,-,-1.04%
2015-05-12,64.15,65.3,66.62,63.59,-,-1.76%
2015-05-11,65.3,64.26,65.92,63.4,-,1.62%
2015-05-08,64.26,64.68,66.1,63.6,-,-2.78%
2015-05-07,66.1,65.85,67.58,64.32,-,-1.03%
2015-05-06,66.79,67.89,67.97,65.12,-,-1.62%
2015-05-05,67.89,65.65,68.88,64.93,-,4.70%
2015-05-04,64.84,63.82,66.06,63.06,-,-0.18%
2015-05-01,64.96,66.77,67.25,64.36,-,-2.75%
2015-04-30,66.8,67.39,68.94,66.31,-,0.01%
2015-04-29,66.79,67.33,68.87,65.12,-,-0.79%
2015-04-28,67.32,67.73,69.77,66.95,-,-0.61%
2015-04-27,67.73,68.63,69.88,67.01,-,-1.02%
2015-04-24,68.43,67.32,69.68,66.86,-,0.77%
2015-04-23,67.91,66.77,68.91,65.48,-,1.71%
2015-04-22,66.77,67.45,68.66,65.93,-,-1.01%
2015-04-21,67.45,67.88,69.37,66.83,-,-0.55%
2015-04-20,67.82,67.14,68.81,67.14,-,1.01%
2015-04-17,67.14,68.23,69.64,67.09,-,0.40%
2015-04-16,66.87,66.41,67.48,66.21,-,1.16%
2015-04-15,66.1,65.45,68.09,65.25,-,0.99%
2015-04-14,65.45,64.91,66.15,63.62,-,1.03%
2015-04-13,64.78,62.18,64.93,61.39,-,4.18%
2015-04-10,62.18,63.31,63.39,61.37,-,-1.78%
2015-04-09,63.31,64.4,65.38,62.07,-,-1.42%
2015-04-08,64.22,64.7,66,63.14,-,-0.74%
2015-04-07,64.7,63.81,65.59,63.14,-,1.19%
2015-04-06,63.94,64.07,65.22,62.41,-,-0.33%
2015-04-02,64.15,65.18,65.18,63.34,-,-1.58%
2015-04-01,65.18,65.33,66.8,64.8,-,-0.66%
2015-03-31,65.61,63.71,66.3,63.71,-,2.98%
2015-03-30,63.71,65.47,65.47,61.94,-,-2.66%
2015-03-27,65.45,63.71,66.38,63.48,-,2.73%
2015-03-26,63.71,65.57,65.94,62.7,-,-2.15%
2015-03-25,65.11,63.35,65.51,62.8,-,3.45%
2015-03-24,62.94,63.57,64.3,62.16,-,-0.99%
2015-03-23,63.57,61.44,63.57,60,-,5.53%
2015-03-20,60.24,61.06,61.06,58.38,-,-1.34%
2015-03-19,61.06,56.96,61.62,56.96,-,7.20%
2015-03-18,56.96,59.3,61.71,55.95,-,-3.95%
2015-03-17,59.3,59.35,60.99,59.08,-,-0.08%
2015-03-16,59.35,60.33,61.28,58.16,-,-1.51%
2015-03-13,60.26,60.44,61.78,58.97,-,1.57%
2015-03-12,59.33,61.07,62,59.18,-,-4.31%
2015-03-11,62,61.17,62.46,57.67,-,1.36%
2015-03-10,61.17,60.98,61.94,59.4,-,3.01%
2015-03-09,59.38,60.67,60.78,58.39,-,-2.27%
2015-03-06,60.76,58.75,61.61,57.99,-,5.23%
2015-03-05,57.74,58.45,59.36,57.64,-,-2.00%
2015-03-04,58.92,59.72,60.82,58.62,-,-0.94%
2015-03-03,59.48,59.22,61.47,58.72,-,1.29%
2015-03-02,58.72,60.71,61.2,58.44,-,-3.37%
2015-02-27,60.77,60.68,61.34,59.41,-,0.15%
2015-02-26,60.68,60.94,62.05,59.65,-,0.18%
2015-02-25,60.57,60.75,61.15,58.78,-,-0.30%
2015-02-24,60.75,61.36,63.31,60.07,-,-1.95%
2015-02-23,61.96,61.88,63.9,61.54,-,0.55%
2015-02-20,61.62,63.9,64.26,61.37,-,-3.57%
2015-02-19,63.9,63.22,65.14,63.22,-,1.08%
2015-02-18,63.22,63.19,64.69,62.35,-,-1.17%
2015-02-17,63.97,63.66,64.55,62.4,-,0.00%
2015-02-13,63.97,63.48,64.27,62.78,-,0.25%
2015-02-12,63.81,65.32,65.32,62.94,-,-2.31%
2015-02-11,65.32,66.94,67.62,64.35,-,-2.42%
2015-02-10,66.94,66.44,68.63,65.81,-,-2.56%
2015-02-09,68.7,68.23,69.11,66.42,-,0.69%
2015-02-06,68.23,65.68,68.97,63.79,-,4.66%
2015-02-05,65.19,65.2,66.29,64.05,-,-1.90%
2015-02-04,66.45,64.09,66.52,63.81,-,3.68%
2015-02-03,64.09,64.75,67,63.52,-,-1.02%
2015-02-02,64.75,66.13,69.38,64.75,-,-5.52%
2015-01-30,68.53,66.53,73.65,65.18,-,3.04%
2015-01-29,66.51,69.72,70.97,65.35,-,-4.43%
2015-01-28,69.59,65.1,70.14,63.65,-,4.96%
2015-01-27,66.3,66.75,68.85,65.29,-,1.55%
2015-01-26,65.29,64.91,66.03,64.32,-,0.59%
2015-01-23,64.91,63.47,66.03,63.1,-,1.30%
2015-01-22,64.08,61.5,66.59,58.38,-,-1.69%
2015-01-21,65.18,65.01,67.16,63.41,-,1.48%
2015-01-20,64.23,66.19,68.6,63.65,-,-4.48%
2015-01-16,67.24,66.57,68.91,65.27,-,1.01%
2015-01-15,66.57,65.36,68.08,64.38,-,1.91%
2015-01-14,65.32,67.41,69.25,65.27,-,-2.62%
2015-01-13,67.08,64.81,68.99,64.2,-,2.27%
2015-01-12,65.59,65.61,68.37,64.58,-,-0.03%
2015-01-09,65.61,64.75,67.04,64.18,-,1.33%
2015-01-08,64.75,64.98,66.02,63.8,-,-0.35%
2015-01-07,64.98,66.31,69.15,64.62,-,-3.43%
2015-01-06,67.29,63.35,72.13,63.35,-,-0.80%
2015-01-05,67.83,65.06,70.92,65.06,-,3.05%
2015-01-02,65.82,67.52,68.42,63.13,-,-3.06%
2014-12-31,67.9,65.55,70.69,65.14,-,3.59%
2014-12-30,65.55,65.58,66.99,64.18,-,0.71%
2014-12-29,65.09,63.36,65.63,63.36,-,0.88%
2014-12-26,64.52,67.17,67.17,64.06,-,-3.95%
2014-12-24,67.17,64.64,67.17,63.96,-,1.56%
2014-12-23,66.14,61.58,66.69,60.5,-,3.83%
2014-12-22,63.7,64.35,65.51,61.7,-,-0.84%
2014-12-19,64.24,62.63,66.38,60.31,-,0.14%
2014-12-18,64.15,63.53,66.63,61.09,-,0.91%
2014-12-17,63.57,72.97,73.65,63.02,-,-12.88%
2014-12-16,72.97,72.64,73.81,66.44,-,7.39%
2014-12-15,67.95,68.88,73.78,67.58,-,-4.42%
2014-12-12,71.09,72.72,75.19,66.44,-,-1.24%
2014-12-11,71.98,66.78,76.88,65.13,-,6.68%
2014-12-10,67.47,66.72,73.5,65.76,-,1.12%
2014-12-09,66.72,68.57,73.14,66.22,-,-0.09%
2014-12-08,66.78,65.33,71.58,64.8,-,2.96%
2014-12-05,64.86,65.78,70.22,64.7,-,-1.40%
2014-12-04,65.78,65.27,66.56,64.59,-,0.15%
2014-12-03,65.68,67.16,69,65.34,-,-0.91%
2014-12-02,66.28,67.32,68.48,65.81,-,-2.03%
2014-12-01,67.65,68.53,76.41,66.49,-,-1.28%
2014-11-28,68.53,68.5,71.66,66.91,-,0.23%
2014-11-26,68.37,67.19,68.53,66.53,-,0.90%
2014-11-25,67.76,65.94,67.94,65.59,-,123.04%
2014-11-24,30.38,30.38,30.38,30.38,-,0.30%
2014-11-21,30.29,33.16,34.8,29.96,-,-8.66%
2014-11-20,33.16,37.97,41.1,33.16,-,-0.75%
2014-11-17,33.41,33.41,33.41,33.41,-,0.00%
2014-01-08,33.41,33.41,33.41,33.41,-,0.00%
2014-01-02,33.41,33.41,33.41,33.41,-,0.00%
2013-11-21,33.41,33.41,33.41,33.41,-,0.00%
2013-11-20,33.41,33.41,33.41,33.41,-,0.00%
2013-11-19,33.41,33.41,33.41,33.41,-,0.00%
2013-11-18,33.41,33.41,33.41,33.41,-,0.00%
2013-11-15,33.41,34.15,35.2,16.63,-,-2.17%
2013-11-14,34.15,35.97,38.12,33.52,-,-5.06%
2013-11-13,35.97,40.53,41.42,35.1,-,-7.77%
2013-11-12,39,39.08,40.7,37.46,-,3.15%
2013-11-11,37.81,39.53,41.54,37.25,-,-4.35%
2013-11-08,39.53,40.9,41.5,37.59,-,-3.35%
2013-11-07,40.9,36.9,42.39,36.9,-,10.84%
2013-11-06,36.9,39.39,39.71,36.12,-,-6.32%
2013-11-05,39.39,39.44,42.18,37.62,-,2.71%
2013-11-04,38.35,39.32,41.99,37.9,-,-4.82%
2013-11-01,40.29,41.55,42.69,35.99,-,-3.03%
